"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
55,85,0.2,"TT",11.1533286098883
55,65,0.2,"TT",13.798419734819
75,65,0.2,"TT",12.4168084946106
75,85,0.2,"TT",12.4096470014279
50,75,0.2,"TT",14.0997495807677
80,75,0.2,"TT",8.62330804902489
65,61,0.2,"TT",12.7099366123454
65,89,0.2,"TT",12.026677112205
65,75,0.2,"TT",10.0426964268798
55,85,0.2,"TT",12.5691068968576
55,65,0.2,"TT",15.8679515158806
75,65,0.2,"TT",12.7386160981907
75,85,0.2,"TT",11.4148234150363
50,75,0.2,"TT",11.7116885363757
80,75,0.2,"TT",11.0105142850466
65,61,0.2,"TT",14.3998944913579
65,89,0.2,"TT",9.24966722461254
65,75,0.2,"TT",11.9904880126815
55,85,0.2,"TT",14.2052314011736
55,65,0.2,"TT",12.4364988393983
75,65,0.2,"TT",10.1747862029711
75,85,0.2,"TT",12.637650913998
50,75,0.2,"TT",11.7087227447509
80,75,0.2,"TT",11.7301732902045
65,61,0.2,"TT",13.1152594925695
65,89,0.2,"TT",10.3316735762708
65,75,0.2,"TT",10.9431162347675
55,85,0.2,"TT",10.828961778333
55,65,0.2,"TT",15.899257583062
75,65,0.2,"TT",9.58514480286713
75,85,0.2,"TT",10.1375092050559
50,75,0.2,"TT",10.6546592646659
80,75,0.2,"TT",10.593229480414
65,61,0.2,"TT",15.2610280120399
65,89,0.2,"TT",12.684623352605
65,75,0.2,"TT",11.2130856566086
55,85,0.2,"TT",10.8991467228225
55,65,0.2,"TT",14.3582845910735
75,65,0.2,"TT",9.69060136267166
75,85,0.2,"TT",11.9014937565355
50,75,0.2,"TT",12.3802184877735
80,75,0.2,"TT",8.32540338584113
65,61,0.2,"TT",14.5809425269527
65,89,0.2,"TT",12.2385134722916
65,75,0.2,"TT",10.4083867155579
55,85,0.2,"TT",11.1942090177538
55,65,0.2,"TT",12.1732730245448
75,65,0.2,"TT",11.4720654207351
75,85,0.2,"TT",10.4187849894678
50,75,0.2,"TT",13.9436984183779
80,75,0.2,"TT",10.5285659889955
65,61,0.2,"TT",12.9717082115669
65,89,0.2,"TT",12.4607091997057
65,75,0.2,"TT",12.6014829363395
55,85,0.2,"TT",11.1480761153998
55,65,0.2,"TT",13.197793488895
75,65,0.2,"TT",9.4428468767854
75,85,0.2,"TT",10.5974173166684
50,75,0.2,"TT",11.1756161315436
80,75,0.2,"TT",12.4542839384432
65,61,0.2,"TT",13.5512924496381
65,89,0.2,"TT",10.3963987571826
65,75,0.2,"TT",12.026772138443
55,85,0.2,"TT",13.8035128167123
55,65,0.2,"TT",12.3573106066941
75,65,0.2,"TT",9.10314905578543
75,85,0.2,"TT",12.5820290696242
50,75,0.2,"TT",12.2905344695046
80,75,0.2,"TT",10.638658081487
65,61,0.2,"TT",14.8188049770445
65,89,0.2,"TT",11.7513844911317
65,75,0.2,"TT",10.2478536434479
55,85,0.2,"TT",13.2141651129085
55,65,0.2,"TT",14.4258182649589
75,65,0.2,"TT",10.9021772185802
75,85,0.2,"TT",12.5626192573668
50,75,0.2,"TT",12.865358245499
80,75,0.2,"TT",10.4833181674243
65,61,0.2,"TT",12.3192787710235
65,89,0.2,"TT",11.8657853395421
65,75,0.2,"TT",9.58492818041751
55,85,0.2,"TT",11.1071111329657
55,65,0.2,"TT",13.4123716034189
75,65,0.2,"TT",11.4649389925969
75,85,0.2,"TT",13.2017687399711
50,75,0.2,"TT",12.0323682517526
80,75,0.2,"TT",10.2119450657214
65,61,0.2,"TT",11.2269362634888
65,89,0.2,"TT",11.1228552575793
65,75,0.2,"TT",11.0055262827531
55,85,0.2,"TT",12.0045645613112
55,65,0.2,"TT",15.0925337743447
75,65,0.2,"TT",11.419326439669
75,85,0.2,"TT",12.9828796711204
50,75,0.2,"TT",13.0577597510411
80,75,0.2,"TT",9.68206545568996
65,61,0.2,"TT",13.739248205951
65,89,0.2,"TT",12.0322228000142
65,75,0.2,"TT",10.3648516542367
55,85,0.2,"TT",10.3635663679823
55,65,0.2,"TT",12.4899671212282
75,65,0.2,"TT",11.3163165118973
75,85,0.2,"TT",10.4039654430884
50,75,0.2,"TT",12.8749921915097
80,75,0.2,"TT",10.0982491901284
65,61,0.2,"TT",13.5080916284444
65,89,0.2,"TT",10.4276564056751
65,75,0.2,"TT",10.3602412528622
55,85,0.2,"TT",12.1100915477257
55,65,0.2,"TT",13.6091592326182
75,65,0.2,"TT",11.9685000641939
75,85,0.2,"TT",11.9153399255614
50,75,0.2,"TT",13.9913138133512
80,75,0.2,"TT",11.4993547213623
65,61,0.2,"TT",10.5733749313395
65,89,0.2,"TT",13.0286359791817
65,75,0.2,"TT",11.0105176991093
55,85,0.2,"TT",13.8579768941976
55,65,0.2,"TT",12.94680283803
75,65,0.2,"TT",11.5976397779512
75,85,0.2,"TT",11.1807112698583
50,75,0.2,"TT",11.1625211831872
80,75,0.2,"TT",8.86597872734469
65,61,0.2,"TT",14.6416871696759
65,89,0.2,"TT",13.1638348068763
65,75,0.2,"TT",11.1995564783832
55,85,0.2,"TT",11.8382921461288
55,65,0.2,"TT",15.3044927077187
75,65,0.2,"TT",8.91296910761473
75,85,0.2,"TT",13.0741780505999
50,75,0.2,"TT",10.4096325223032
80,75,0.2,"TT",10.1912202488252
65,61,0.2,"TT",13.9354713521464
65,89,0.2,"TT",11.0233524874525
65,75,0.2,"TT",11.8219679210365
55,85,0.2,"TT",11.9810809238831
55,65,0.2,"TT",14.3253002558803
75,65,0.2,"TT",11.0610679156345
75,85,0.2,"TT",12.5543117459427
50,75,0.2,"TT",12.2827762371878
80,75,0.2,"TT",12.028336903534
65,61,0.2,"TT",14.118556050889
65,89,0.2,"TT",11.1055221892667
65,75,0.2,"TT",11.6465782991891
55,85,0.2,"TT",10.0413971882105
55,65,0.2,"TT",13.5327879348735
75,65,0.2,"TT",9.05529460894868
75,85,0.2,"TT",10.3827512787466
50,75,0.2,"TT",13.102580401846
80,75,0.2,"TT",8.58820322115501
65,61,0.2,"TT",12.4650892279615
65,89,0.2,"TT",12.4502777222453
65,75,0.2,"TT",11.1477521235256
55,85,0.2,"TT",12.2924231262772
55,65,0.2,"TT",13.4732978926659
75,65,0.2,"TT",11.0211024522188
75,85,0.2,"TT",12.631629619902
50,75,0.2,"TT",10.9324085803624
80,75,0.2,"TT",10.0937026479044
65,61,0.2,"TT",12.6638848905583
65,89,0.2,"TT",10.8479281985042
65,75,0.2,"TT",11.8862985900247
55,85,0.2,"TT",12.3906491316319
55,65,0.2,"TT",15.5084452981202
75,65,0.2,"TT",12.1347872677324
75,85,0.2,"TT",11.1058794069602
50,75,0.2,"TT",11.8934810463931
80,75,0.2,"TT",10.6849469150781
65,61,0.2,"TT",13.5547645099778
65,89,0.2,"TT",10.9545808876071
65,75,0.2,"TT",10.1877523878316
55,85,0.2,"TT",12.5245496928804
55,65,0.2,"TT",14.7644541128888
75,65,0.2,"TT",10.0827089732824
75,85,0.2,"TT",10.7075382013038
50,75,0.2,"TT",12.3234991927008
80,75,0.2,"TT",8.77378630989257
65,61,0.2,"TT",12.1659449071692
65,89,0.2,"TT",11.1045437459538
65,75,0.2,"TT",10.2076518217992
55,85,0.2,"TT",13.562508604964
55,65,0.2,"TT",13.6715089682595
75,65,0.2,"TT",11.0335245873405
75,85,0.2,"TT",11.5464098298483
50,75,0.2,"TT",12.2927440954785
80,75,0.2,"TT",8.27146517625516
65,61,0.2,"TT",15.0009804395116
65,89,0.2,"TT",13.3142975116137
65,75,0.2,"TT",11.0876032075726
55,85,0.2,"TT",13.0045647047972
55,65,0.2,"TT",14.1797205459144
75,65,0.2,"TT",9.83180678941079
75,85,0.2,"TT",11.7248163760674
50,75,0.2,"TT",13.0891403110765
80,75,0.2,"TT",9.78538773040236
65,61,0.2,"TT",14.4095857956754
65,89,0.2,"TT",11.2325005803499
65,75,0.2,"TT",10.9804621157349
55,85,0.2,"TT",10.7768469671292
55,65,0.2,"TT",13.0094946648885
75,65,0.2,"TT",11.0392689043446
75,85,0.2,"TT",10.3219261469001
50,75,0.2,"TT",12.5415721692069
80,75,0.2,"TT",10.2932949477207
65,61,0.2,"TT",12.8666052607433
65,89,0.2,"TT",11.581924518269
65,75,0.2,"TT",10.5391823169159
55,85,0.2,"TT",10.8677725389088
55,65,0.2,"TT",14.7925018625357
75,65,0.2,"TT",11.1033524999393
75,85,0.2,"TT",10.6083051901326
50,75,0.2,"TT",11.7823268070272
80,75,0.2,"TT",11.1908879266651
65,61,0.2,"TT",13.1238455773733
65,89,0.2,"TT",12.3852382216551
65,75,0.2,"TT",11.6344486420222
55,85,0.2,"TT",10.4114177841882
55,65,0.2,"TT",13.9775691906888
75,65,0.2,"TT",11.9732368050433
75,85,0.2,"TT",11.9851917910743
50,75,0.2,"TT",11.2234740482424
80,75,0.2,"TT",9.76958536443298
65,61,0.2,"TT",14.9166364626501
65,89,0.2,"TT",11.3015526307421
65,75,0.2,"TT",11.6290362418931
55,85,0.2,"TT",13.3477529506334
55,65,0.2,"TT",15.3922883909929
75,65,0.2,"TT",10.2259314675301
75,85,0.2,"TT",11.0271383081619
50,75,0.2,"TT",11.940248956286
80,75,0.2,"TT",10.3153665566861
65,61,0.2,"TT",11.7553991517577
65,89,0.2,"TT",13.0451896388041
65,75,0.2,"TT",11.7175397629777
55,85,0.2,"TT",11.5352689667636
55,65,0.2,"TT",12.8510376905345
75,65,0.2,"TT",10.6564677474244
75,85,0.2,"TT",10.6486705380075
50,75,0.2,"TT",12.4514886813136
80,75,0.2,"TT",11.7859756628879
65,61,0.2,"TT",12.251236363297
65,89,0.2,"TT",12.8332049963801
65,75,0.2,"TT",12.3811807305228
55,85,0.2,"TT",10.7114688075743
55,65,0.2,"TT",11.9260353072757
75,65,0.2,"TT",9.00507445815722
75,85,0.2,"TT",10.590586680801
50,75,0.2,"TT",11.7686370026238
80,75,0.2,"TT",10.2827617429945
65,61,0.2,"TT",14.0393303451323
65,89,0.2,"TT",11.482277706762
65,75,0.2,"TT",11.2638685063485
55,85,0.2,"TT",12.485163766456
55,65,0.2,"TT",14.44171909364
75,65,0.2,"TT",8.05266613722056
75,85,0.2,"TT",10.3648879222114
50,75,0.2,"TT",12.2032772708885
80,75,0.2,"TT",8.40112439822702
65,61,0.2,"TT",13.7359453183746
65,89,0.2,"TT",12.0490368061876
65,75,0.2,"TT",9.10610914207222
55,85,0.2,"TT",11.9539203945216
55,65,0.2,"TT",16.7451217862647
75,65,0.2,"TT",11.3369530084844
75,85,0.2,"TT",10.5138247134938
50,75,0.2,"TT",11.7214852758736
80,75,0.2,"TT",9.40538995994372
65,61,0.2,"TT",15.0440506930926
65,89,0.2,"TT",11.1117818155947
65,75,0.2,"TT",11.3400231544982
55,85,0.2,"TT",11.3192973552712
55,65,0.2,"TT",14.2267149385939
75,65,0.2,"TT",11.5748918181729
75,85,0.2,"TT",11.9784020937767
50,75,0.2,"TT",11.5828985891927
80,75,0.2,"TT",9.90207830686632
65,61,0.2,"TT",12.671228585071
65,89,0.2,"TT",10.4615312995405
65,75,0.2,"TT",10.9986805137653
55,85,0.2,"TT",10.7621649966463
55,65,0.2,"TT",14.7235243947606
75,65,0.2,"TT",10.8983086313641
75,85,0.2,"TT",10.9466228351566
50,75,0.2,"TT",12.5205473367984
80,75,0.2,"TT",9.67266218693013
65,61,0.2,"TT",13.1205644495249
65,89,0.2,"TT",10.9717370311217
65,75,0.2,"TT",10.1443599437559
55,85,0.2,"TT",12.7690451400483
55,65,0.2,"TT",15.0154090951018
75,65,0.2,"TT",9.87351188308884
75,85,0.2,"TT",11.9131779686367
50,75,0.2,"TT",13.1282435336935
80,75,0.2,"TT",9.3483224534795
65,61,0.2,"TT",12.8208910992156
65,89,0.2,"TT",13.2919596814329
65,75,0.2,"TT",11.2809088028102
55,85,0.2,"TT",12.0706327482163
55,65,0.2,"TT",14.0828822658272
75,65,0.2,"TT",11.483738000132
75,85,0.2,"TT",10.9616531407681
50,75,0.2,"TT",12.642200498087
80,75,0.2,"TT",9.9447135101494
65,61,0.2,"TT",12.8411701792438
65,89,0.2,"TT",11.6214362119527
65,75,0.2,"TT",12.3540504741709
55,85,0.2,"TT",9.72138804832468
55,65,0.2,"TT",15.0611494924307
75,65,0.2,"TT",11.5990525888566
75,85,0.2,"TT",9.71586912202135
50,75,0.2,"TT",10.8879413437488
80,75,0.2,"TT",9.68571916689866
65,61,0.2,"TT",13.5424376074277
65,89,0.2,"TT",10.9132949681225
65,75,0.2,"TT",11.1451899867136
55,85,0.2,"TT",11.4789023740175
55,65,0.2,"TT",14.775820887982
75,65,0.2,"TT",9.32858548898225
75,85,0.2,"TT",10.3170835731151
50,75,0.2,"TT",15.0375891910276
80,75,0.2,"TT",10.0854768442316
65,61,0.2,"TT",14.2441909551862
65,89,0.2,"TT",11.2468220420279
65,75,0.2,"TT",10.9548076328418
55,85,0.2,"TT",12.7314602192487
55,65,0.2,"TT",14.2252996925383
75,65,0.2,"TT",10.8005603341765
75,85,0.2,"TT",10.6025574651774
50,75,0.2,"TT",13.1229862073375
80,75,0.2,"TT",10.3143597584457
65,61,0.2,"TT",14.0020277185505
65,89,0.2,"TT",11.3272001563483
65,75,0.2,"TT",9.9923146267301
55,85,0.2,"TT",10.1792166590179
55,65,0.2,"TT",13.5527435703149
75,65,0.2,"TT",11.3787030672519
75,85,0.2,"TT",9.62016005531554
50,75,0.2,"TT",11.2087720432519
80,75,0.2,"TT",11.0460376128253
65,61,0.2,"TT",12.3980885309178
65,89,0.2,"TT",11.5803715446965
65,75,0.2,"TT",12.0375042602477
55,85,0.2,"TT",11.1776714819109
55,65,0.2,"TT",14.6457457069027
75,65,0.2,"TT",8.8661114316572
75,85,0.2,"TT",13.3816684350875
50,75,0.2,"TT",12.3984002601603
80,75,0.2,"TT",10.0349386878882
65,61,0.2,"TT",12.1138971964952
65,89,0.2,"TT",12.1415762157863
65,75,0.2,"TT",10.6118381264765
55,85,0.2,"TT",12.8560119223402
55,65,0.2,"TT",14.6626450335935
75,65,0.2,"TT",11.5260055988357
75,85,0.2,"TT",13.2087892387731
50,75,0.2,"TT",11.5984505637855
80,75,0.2,"TT",9.71462029812062
65,61,0.2,"TT",14.506747072011
65,89,0.2,"TT",10.2631572741798
65,75,0.2,"TT",8.86073004343627
55,85,0.2,"TT",11.8855530308079
55,65,0.2,"TT",15.3198926035135
75,65,0.2,"TT",12.3062262151649
75,85,0.2,"TT",10.2215972700465
50,75,0.2,"TT",13.1749113610395
80,75,0.2,"TT",10.5732965895227
65,61,0.2,"TT",13.5106531601646
65,89,0.2,"TT",12.0919852142431
65,75,0.2,"TT",11.7848107265559
55,85,0.2,"TT",12.4492246301242
55,65,0.2,"TT",13.9483318669449
75,65,0.2,"TT",10.779603878924
75,85,0.2,"TT",11.4654391156566
50,75,0.2,"TT",13.9986853732016
