"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
45,85,0.2,"AC",18.516675773654
45,15,0.2,"AC",25.6371036942862
105,15,0.2,"AC",25.0323140352565
105,85,0.2,"AC",23.3311504478025
30,50,0.2,"AC",22.4294127045452
120,50,0.2,"AC",23.8592050970721
75,0,0.2,"AC",26.3961468161473
75,100,0.2,"AC",21.5832685438162
75,50,0.2,"AC",21.3516474926061
45,85,0.2,"AC",17.7432260858864
45,15,0.2,"AC",25.8109277423559
105,15,0.2,"AC",25.1242062916402
105,85,0.2,"AC",21.5433833812287
30,50,0.2,"AC",23.5539046546007
120,50,0.2,"AC",23.0612747448485
75,0,0.2,"AC",25.1506534344457
75,100,0.2,"AC",22.2103450149924
75,50,0.2,"AC",21.3033035320097
45,85,0.2,"AC",16.9575003651568
45,15,0.2,"AC",26.5793303164298
105,15,0.2,"AC",24.9608703514826
105,85,0.2,"AC",21.7761430880282
30,50,0.2,"AC",20.4260268756026
120,50,0.2,"AC",23.0016618310633
75,0,0.2,"AC",21.7270256193024
75,100,0.2,"AC",21.1290077603326
75,50,0.2,"AC",19.896854330262
45,85,0.2,"AC",18.4453078632639
45,15,0.2,"AC",26.5503032539797
105,15,0.2,"AC",24.4114151925024
105,85,0.2,"AC",21.2101347943104
30,50,0.2,"AC",22.6227365757224
120,50,0.2,"AC",21.5661223984399
75,0,0.2,"AC",24.0168813233354
75,100,0.2,"AC",19.818157400887
75,50,0.2,"AC",19.8028096445406
45,85,0.2,"AC",18.5385931723448
45,15,0.2,"AC",26.4016474659548
105,15,0.2,"AC",25.0177015636072
105,85,0.2,"AC",22.2786258585145
30,50,0.2,"AC",21.2780578350628
120,50,0.2,"AC",20.6685577896269
75,0,0.2,"AC",24.9491794600738
75,100,0.2,"AC",21.7908788500349
75,50,0.2,"AC",21.3899061616054
45,85,0.2,"AC",19.6365815542423
45,15,0.2,"AC",24.784302596176
105,15,0.2,"AC",26.4509752521028
105,85,0.2,"AC",21.7588375585286
30,50,0.2,"AC",21.6518368253171
120,50,0.2,"AC",21.8049221505372
75,0,0.2,"AC",23.9626803999263
75,100,0.2,"AC",20.881982126013
75,50,0.2,"AC",21.3351183139825
45,85,0.2,"AC",18.2206101642524
45,15,0.2,"AC",25.3316052430053
105,15,0.2,"AC",24.1180341021021
105,85,0.2,"AC",23.7471657352289
30,50,0.2,"AC",20.9378670950127
120,50,0.2,"AC",23.2505991726452
75,0,0.2,"AC",26.0432346187061
75,100,0.2,"AC",22.907809091192
75,50,0.2,"AC",22.143039211303
45,85,0.2,"AC",19.6612876360908
45,15,0.2,"AC",24.8803995696732
105,15,0.2,"AC",22.42195628713
105,85,0.2,"AC",23.4952739027031
30,50,0.2,"AC",22.6949889641243
120,50,0.2,"AC",22.6383853062515
75,0,0.2,"AC",24.5455386776224
75,100,0.2,"AC",21.078582120424
75,50,0.2,"AC",20.3731689296694
45,85,0.2,"AC",17.3808816878692
45,15,0.2,"AC",24.0421663140344
105,15,0.2,"AC",25.0564338464979
105,85,0.2,"AC",22.4422147364839
30,50,0.2,"AC",21.6311748358871
120,50,0.2,"AC",24.2702644015463
75,0,0.2,"AC",25.3650078239476
75,100,0.2,"AC",22.2309469919085
75,50,0.2,"AC",21.2462439973386
45,85,0.2,"AC",19.2262239032357
45,15,0.2,"AC",24.1879941347299
105,15,0.2,"AC",22.9427259342245
105,85,0.2,"AC",22.7779056952429
30,50,0.2,"AC",23.8676721604651
120,50,0.2,"AC",22.8574456759074
75,0,0.2,"AC",25.9137908775177
75,100,0.2,"AC",21.722129874848
75,50,0.2,"AC",21.4726345905928
45,85,0.2,"AC",19.989689835902
45,15,0.2,"AC",23.5895868368046
105,15,0.2,"AC",24.0167766924608
105,85,0.2,"AC",22.9759737525669
30,50,0.2,"AC",21.9754244785532
120,50,0.2,"AC",23.3215264655564
75,0,0.2,"AC",26.069083939486
75,100,0.2,"AC",21.7040322226344
75,50,0.2,"AC",21.5378554310088
45,85,0.2,"AC",19.7158610624289
45,15,0.2,"AC",25.3884278867981
105,15,0.2,"AC",23.4950005373828
105,85,0.2,"AC",21.3517185994641
30,50,0.2,"AC",21.4632884869778
120,50,0.2,"AC",22.2090965126805
75,0,0.2,"AC",25.3593125851093
75,100,0.2,"AC",22.4946466063447
75,50,0.2,"AC",22.083655855812
45,85,0.2,"AC",17.0528306948081
45,15,0.2,"AC",24.3089893347703
105,15,0.2,"AC",24.9027090744189
105,85,0.2,"AC",24.7150015895738
30,50,0.2,"AC",22.3956185856351
120,50,0.2,"AC",22.3631028744267
75,0,0.2,"AC",25.1704509880565
75,100,0.2,"AC",23.2391673330906
75,50,0.2,"AC",20.8922799603173
45,85,0.2,"AC",19.4557864085571
45,15,0.2,"AC",24.1287794688884
105,15,0.2,"AC",26.4220486568127
105,85,0.2,"AC",22.6114854262675
30,50,0.2,"AC",22.3149610088271
120,50,0.2,"AC",23.3295543029855
75,0,0.2,"AC",24.0154792652863
75,100,0.2,"AC",20.6682764729388
75,50,0.2,"AC",20.692466390503
45,85,0.2,"AC",17.6722468087009
45,15,0.2,"AC",25.7437469008535
105,15,0.2,"AC",24.7930497741513
105,85,0.2,"AC",23.2158596173046
30,50,0.2,"AC",22.6576104530967
120,50,0.2,"AC",20.4771299347903
75,0,0.2,"AC",24.2083360907118
75,100,0.2,"AC",21.8363565788469
75,50,0.2,"AC",22.8277732780086
45,85,0.2,"AC",18.0813153220355
45,15,0.2,"AC",24.7647967606945
105,15,0.2,"AC",24.6133407536629
105,85,0.2,"AC",23.6472964005476
30,50,0.2,"AC",21.1387903027291
120,50,0.2,"AC",23.2983490774075
75,0,0.2,"AC",24.8226800375503
75,100,0.2,"AC",21.4732924314276
75,50,0.2,"AC",23.0370056805666
45,85,0.2,"AC",15.4871343743427
45,15,0.2,"AC",27.4896480846076
105,15,0.2,"AC",25.8501639202998
105,85,0.2,"AC",24.4015812504948
30,50,0.2,"AC",20.7582396634728
120,50,0.2,"AC",21.891356447955
75,0,0.2,"AC",26.7956938701671
75,100,0.2,"AC",20.7907695992514
75,50,0.2,"AC",20.6264157441573
45,85,0.2,"AC",19.0760929539586
45,15,0.2,"AC",25.453701188483
105,15,0.2,"AC",25.7047398404892
105,85,0.2,"AC",22.0920775142857
30,50,0.2,"AC",19.9423866174308
120,50,0.2,"AC",21.6746370923242
75,0,0.2,"AC",26.2197883189015
75,100,0.2,"AC",23.4359696326687
75,50,0.2,"AC",21.7006227170113
45,85,0.2,"AC",18.9930934648758
45,15,0.2,"AC",24.2563829529843
105,15,0.2,"AC",24.3144911375224
105,85,0.2,"AC",24.2648164537356
30,50,0.2,"AC",20.2496466829225
120,50,0.2,"AC",21.3570446976059
75,0,0.2,"AC",25.1696518982836
75,100,0.2,"AC",23.2627887097775
75,50,0.2,"AC",21.7742260873863
45,85,0.2,"AC",18.7836971159081
45,15,0.2,"AC",24.5095589539913
105,15,0.2,"AC",25.1930440300807
105,85,0.2,"AC",23.5441829440681
30,50,0.2,"AC",21.5021230328251
120,50,0.2,"AC",23.9062403604169
75,0,0.2,"AC",23.0021296593055
75,100,0.2,"AC",22.1582538628149
75,50,0.2,"AC",20.1964599610024
45,85,0.2,"AC",19.4707245594508
45,15,0.2,"AC",25.1735587587492
105,15,0.2,"AC",23.6626883434407
105,85,0.2,"AC",22.7432224328521
30,50,0.2,"AC",21.3999958160187
120,50,0.2,"AC",22.2334832506139
75,0,0.2,"AC",24.6904078939027
75,100,0.2,"AC",21.5545847585615
75,50,0.2,"AC",20.995143315898
45,85,0.2,"AC",18.4799667908071
45,15,0.2,"AC",23.3691063742363
105,15,0.2,"AC",26.5825907413958
105,85,0.2,"AC",24.0637599810711
30,50,0.2,"AC",22.7875340176579
120,50,0.2,"AC",22.8431082666963
75,0,0.2,"AC",25.7950754980439
75,100,0.2,"AC",21.3899886584143
75,50,0.2,"AC",20.4074062030729
45,85,0.2,"AC",18.4197579156677
45,15,0.2,"AC",22.822780401484
105,15,0.2,"AC",24.5482018272521
105,85,0.2,"AC",23.5773894247034
30,50,0.2,"AC",21.5244301634666
120,50,0.2,"AC",22.235203568288
75,0,0.2,"AC",23.1133979005596
75,100,0.2,"AC",21.8619862890984
75,50,0.2,"AC",20.7619981433514
45,85,0.2,"AC",17.8453492032757
45,15,0.2,"AC",26.2855185849498
105,15,0.2,"AC",25.7405306137574
105,85,0.2,"AC",21.4024616379894
30,50,0.2,"AC",21.4314012937699
120,50,0.2,"AC",22.4195796204367
75,0,0.2,"AC",22.5475429765666
75,100,0.2,"AC",23.6056546930708
75,50,0.2,"AC",21.4043995943041
45,85,0.2,"AC",19.0231423664714
45,15,0.2,"AC",26.0154144176747
105,15,0.2,"AC",23.3350148962791
105,85,0.2,"AC",23.2762967626409
30,50,0.2,"AC",23.5207355951574
120,50,0.2,"AC",22.2957256074541
75,0,0.2,"AC",24.7337921731491
75,100,0.2,"AC",21.1823174179099
75,50,0.2,"AC",21.1963161136052
45,85,0.2,"AC",18.9001260301348
45,15,0.2,"AC",24.9052435090129
105,15,0.2,"AC",25.029608393776
105,85,0.2,"AC",23.554997814124
30,50,0.2,"AC",21.5222252904939
120,50,0.2,"AC",23.3895147457206
75,0,0.2,"AC",24.3051390256281
75,100,0.2,"AC",21.0239691275542
75,50,0.2,"AC",21.8003931793486
45,85,0.2,"AC",18.3596797972352
