"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
45,85,0.2,"TT",10.8618797437488
45,15,0.2,"TT",19.7891002305463
105,15,0.2,"TT",18.2606795427219
105,85,0.2,"TT",17.8242373404043
30,50,0.2,"TT",17.1983321981701
120,50,0.2,"TT",18.6105780380814
75,0,0.2,"TT",17.653972611343
75,100,0.2,"TT",16.2041545701176
75,50,0.2,"TT",17.3878695941655
45,85,0.2,"TT",12.7894822025614
45,15,0.2,"TT",19.7913331239625
105,15,0.2,"TT",19.3908460337543
105,85,0.2,"TT",17.9730556230854
30,50,0.2,"TT",17.6820391664965
120,50,0.2,"TT",17.670567472527
75,0,0.2,"TT",20.4420926875537
75,100,0.2,"TT",16.4261227104831
75,50,0.2,"TT",15.7239289901942
45,85,0.2,"TT",13.8077125507187
45,15,0.2,"TT",20.5646874633605
105,15,0.2,"TT",18.6578227526575
105,85,0.2,"TT",17.604015052933
30,50,0.2,"TT",16.17512894345
120,50,0.2,"TT",16.8306065381617
75,0,0.2,"TT",20.7808814190391
75,100,0.2,"TT",17.0844890039291
75,50,0.2,"TT",14.770426767001
45,85,0.2,"TT",12.7624347882032
45,15,0.2,"TT",21.9150527083081
105,15,0.2,"TT",19.1775831004923
105,85,0.2,"TT",15.0000362516477
30,50,0.2,"TT",18.792621221734
120,50,0.2,"TT",18.3389459493174
75,0,0.2,"TT",20.2169168733648
75,100,0.2,"TT",16.1522000827815
75,50,0.2,"TT",15.6053506343229
45,85,0.2,"TT",14.7387134167348
45,15,0.2,"TT",18.8227457422447
105,15,0.2,"TT",17.9820261897833
105,85,0.2,"TT",18.5981335922385
30,50,0.2,"TT",17.9945836700716
120,50,0.2,"TT",18.5842849826431
75,0,0.2,"TT",19.3790551214653
75,100,0.2,"TT",16.4316766784504
75,50,0.2,"TT",15.9861198999004
45,85,0.2,"TT",13.7131551084691
45,15,0.2,"TT",21.0314584547089
105,15,0.2,"TT",21.920779294549
105,85,0.2,"TT",17.5590801958923
30,50,0.2,"TT",18.19262413451
120,50,0.2,"TT",17.1621680487006
75,0,0.2,"TT",19.5184599444939
75,100,0.2,"TT",15.828506452235
75,50,0.2,"TT",16.5091396446525
45,85,0.2,"TT",11.1671844997808
45,15,0.2,"TT",21.1991532986466
105,15,0.2,"TT",20.5921853332488
105,85,0.2,"TT",18.9672913241509
30,50,0.2,"TT",17.4897315514409
120,50,0.2,"TT",17.9561792223012
75,0,0.2,"TT",20.3676981978409
75,100,0.2,"TT",16.4081460859025
75,50,0.2,"TT",17.1857114577603
45,85,0.2,"TT",12.1811163368664
45,15,0.2,"TT",17.9618470655891
105,15,0.2,"TT",18.7928413642218
105,85,0.2,"TT",18.1524828213851
30,50,0.2,"TT",17.535465710974
120,50,0.2,"TT",17.3277517960052
75,0,0.2,"TT",19.9309709760217
75,100,0.2,"TT",15.2073049568893
75,50,0.2,"TT",15.6503450117371
45,85,0.2,"TT",14.169402557952
45,15,0.2,"TT",20.5925634354237
105,15,0.2,"TT",19.1633482882709
105,85,0.2,"TT",17.468380572158
30,50,0.2,"TT",16.9396406796024
120,50,0.2,"TT",14.7319037822221
75,0,0.2,"TT",19.2681396160115
75,100,0.2,"TT",18.0641929911766
